Ik vind het leuk om nieuwe dingen te ontwikkelen?,Helemaal mee eens,Mee eens,Niet mee eens,Helemaal niet eens,SE
Het onderwerp statistieken interesseert mij?,Helemaal mee eens,Mee eens,Niet mee eens,Helemaal niet eens,SE
